"name","street","street2","zip","city","country:id","phone","email","bic"
"Пешкунский филиал Агробанка","201200, Бухарская область, Пешкунский район, ул. Мустакиллик, 1",,,"Бухарская область","base.uz",,,"00098"
"Янгибазарский филиал Микрокредитбанка","201200, Бухарская область, Пешкунский район, гп Янгибозор, ул. Янгибазар, 26",,,"Бухарская область","base.uz",,,"00100"
"Шафирканский филиал Микрокредитбанка","Бухарская область, Шафирканский район, г. Шафиркан, ул. Амира Темура, 1",,,"Бухарская область","base.uz",,,"00101"
"Гиждуванский филиал Микрокредитбанка","200500, Бухарская область, Гиждуванский район, г. Гиждуван, ул. Алпомиш, 23",,,"Бухарская область","base.uz",,,"00104"
"Жондорский филиал Микрокредитбанка","200600, Бухарская область, Жондорский район, гп Жондор, ул. Махмуда Таробий, 50",,,"Бухарская область","base.uz",,,"00108"
"Бухарский областной филиал Микрокредитбанка","Бухарская область, г. Бухара, ул. А. Гиждувоний, 21",,,"Бухарская область","base.uz",,,"00109"
"Ромитанский филиал Микрокредитбанка","201000, Бухарская область, Ромитанский район, г. Ромитан, ул. Чорикулбой, 28",,,"Бухарская область","base.uz",,,"00110"
"Бухарский филиал Туронбанка","200113, Бухарская область, г. Бухара, ул. И. Муминова, 29/1",,,"Бухарская область","base.uz",,,"00111"
"Бухарский филиал Савдогар банка","200100, Бухарская область, г. Бухара, ул. Бухара, 1",,,"Бухарская область","base.uz",,,"00112"
"Бухарский региональный филиал Кишлок курилиш банка","200117, Бухарская область, г. Бухара, ул. М. Икбола, 3\1",,,"Бухарская область","base.uz",,,"00115"
"Бухарский областной филиал Народного банка","200100, Бухарская область, г. Бухара, ул. М. Икбола, 8",,,"Бухарская область","base.uz",,,"00116"
"Ф. Хужаевский филиал Народного банка","Бухарская область, г. Бухара, ул. Хужануробод, 18",,,"Бухарская область","base.uz",,,"00118"
"Филиал ""Сардор"" Ипотека банка","200100, Бухарская область, г. Бухара, ул. Икромий, 6",,,"Бухарская область","base.uz",,,"00119"
"Бухарский областной филиал Асака банка","200104, Бухарская область, г. Бухара, ул. Б.Накшбанда, 168/Б",,,"Бухарская область","base.uz",,,"00120"
"Джизакское отделение Узнацбанка","Джизакская область, г. Джизак, маҳалля Сайилжойи, проспект Шарофа Рашидова, 20",,,"Джизакская область","base.uz",,,"00121"
"Джизакский областной филиал Ипотека банка","130100, Джизакская область, г. Джизак, ул. Шарофа Рашидова, 72",,,"Джизакская область","base.uz",,,"00122"
"Джизакский филиал Агробанка","131100, Джизакская область, Джизакский район, гп Учтепа, ул. Пахтакор, 4",,,"Джизакская область","base.uz",,,"00123"
"Арнасайский филиал Агробанка","130200, Джизакская область, Арнасайский район, гп Голиблар, ул. Халклар дустлиги, 1",,,"Джизакская область","base.uz",,,"00124"
"Зарбдарский филиал Агробанка","130600, Джизакская область, Зарбдарский район, гп Зарбдар, ул. Янгимахалла, 1",,,"Джизакская область","base.uz",,,"00125"
"Джизакский областной территориальный филиал Агробанка","130100, Джизакская область, г. Джизак, ул. Байналминалчилар, 18",,,"Джизакская область","base.uz",,,"00126"
"Пахтакорский филиал Агробанка","130900, Джизакская область, Пахтакорский район, г. Пахтакор, ул. Жабборова, 23",,,"Джизакская область","base.uz",,,"00127"
"Галлааральский филиал Агробанка","130400, Джизакская область, Галляаральский район, г. Галляарал, ул. Мустакиллик, 27",,,"Джизакская область","base.uz",,,"00128"
"Дустликский филиал Агробанка","130500, Джизакская область, Дустликский район, г. Дустлик, ул. Шарофа Рашидова, 1",,,"Джизакская область","base.uz",,,"00129"
"Мирзачульский филиал Агробанка","130300, Джизакская область, Мирзачульский район, г. Гагарин, ул. Оналбоева, 1",,,"Джизакская область","base.uz",,,"00130"
"Заминский филиал Агробанка","130804, Джизакская область, Зааминский район, гп Заамин, ул. Мустакиллик, 54",,,"Джизакская область","base.uz",,,"00131"
"Бахмальский филиал Агробанка","131000, Джизакская область, Бахмальский район, гп Усмат, ул. 9 мая, 5",,,"Джизакская область","base.uz",,,"00132"
"Фаришский филиал Агробанка","131200, Джизакская область, Фаришский район, гп Янгикишлак, ул. Э. Ниятова, 4",,,"Джизакская область","base.uz",,,"00133"
"Зафарабадский филиал Агробанка","130703, Джизакская область, Зафарабадский район, гп Зафарабад, ул. Мустакиллик, 2",,,"Джизакская область","base.uz",,,"00134"
"Джизакский областной филиал Микрокредитбанка","130100, Джизакская область, г. Джизак, ул. Сайилгох , 60",,,"Джизакская область","base.uz",,,"00135"
"Дустликский филиал Савдогар банка","130500, Джизакская область, Дустликский район, г. Дустлик, ул. Курувчилар, 6",,,"Джизакская область","base.uz",,,"00138"
"Джизакский региональный филиал Кишлок курилиш банка","130100, Джизакская область, г.Джизак, махалля Кутарма, ул. Тукимачилар, 2-A",,,"Джизакская область","base.uz",,,"00139"
"Джизакский областной филиал Асака банка","130100, Джизакская область, г. Джизак, ул. Шарофа Рашидова, 115",,,"Джизакская область","base.uz",,,"00140"
"Галлааральский филиал Микрокредитбанка","130400, Джизакская область, Галляаральский район, г. Галляарал, ул. Мустакиллик, 38",,,"Джизакская область","base.uz",,,"00142"
"Заминский филиал Микрокредитбанка","130800, Джизакская область, Зааминский район, гп Заамин, ул. Мустакиллик, 76",,,"Джизакская область","base.uz",,,"00145"
"Зарбдарский филиал Микрокредитбанка","130600, Джизакская область, Зарбдарский район, гп Зарбдар, ул. С. Нурбаева, 25",,,"Джизакская область","base.uz",,,"00149"
"Каршинское отделение Узнацбанка","Кашкадарьинская область, г. Карши, ул. Узбекистанская, 219",,,"Кашкадарьинская область","base.uz",,,"00150"
"Кашкадарьинский областной территориальный филиал Агробанка","180100, Кашкадарьинская область, г. Карши, ул. А. Навои, 2",,,"Кашкадарьинская область","base.uz",,,"00151"
"Кашкадарьинский областной филиал Микрокредитбанка","180118, Кашкадарьинская область, г. Карши, ул. Сохибкор, 4",,,"Кашкадарьинская область","base.uz",,,"00152"
"Каршинский филиал Савдогар банка","180100, Кашкадарьинская область, г. Карши, ул. А. Юлбарисова, 2",,,"Кашкадарьинская область","base.uz",,,"00154"
"Кашкадарьинский региональный филиал Кишлок курилиш банка","180100, Кашкадарьинская область, г. Карши, ул. Узбекистанская, 44",,,"Кашкадарьинская область","base.uz",,,"00155"
"Кукдалинский филиал Кишлок курилиш банка","181214, Кашкадарьинская область, Чиракчинский район, Кукдала МФЙ, поселок Кукдала",,,"Кашкадарьинская область","base.uz",,,"00156"
"Гузарский филиал Агробанка","180300, Кашкадарьинская область, Гузарский район, г. Гузар, ул. Мустакиллик, 10",,,"Кашкадарьинская область","base.uz",,,"00157"
"Дехканабадский филиал Агробанка","180405, Кашкадарьинская область, Дехканабадский район, гп Корашина, ул. Мирзо Улугбека, 7",,,"Кашкадарьинская область","base.uz",,,"00158"
"Камашинский филиал Агробанка","180500, Кашкадарьинская область, Камашинский район, г. Камаши, ул. Амира Темура, 47",,,"Кашкадарьинская область","base.uz",,,"00160"
"Камашинский филиал Микрокредитбанка","180500, Кашкадарьинская область, Камашинский район, г. Камаши, ул. Нодиры, 18",,,"Кашкадарьинская область","base.uz",,,"00161"
"Касанский филиал Агробанка","Кашкадарьинская область, Касанский район, г. Касан, ул. Узбекистанская, 1",,,"Кашкадарьинская область","base.uz",,,"00162"
"Касанский филиал Микрокредитбанка","180803, Кашкадарьинская область, Касанский район, г. Касан, ул. Шарофа Рашидова, 102",,,"Кашкадарьинская область","base.uz",,,"00163"
"Шахрисабзский филиал Ипотека банка","Кашкадарьинская область, Шахрисабзский район, г. Шахрисабз, ул. Ипак йули, 3",,,"Кашкадарьинская область","base.uz",,,"00165"
"Шахрисабзский филиал Агробанка","Кашкадарьинская область, Шахрисабзский район, г. Шахрисабз, ул. Буюк Ипак йули, 2",,,"Кашкадарьинская область","base.uz",,,"00166"
"Шахрисабзский филиал Микрокредитбанка","Кашкадарьинская область, Шахрисабзский район, г. Шахрисабз, ул. Буюк Ипак йули, 5",,,"Кашкадарьинская область","base.uz",,,"00167"
"Яккабагский филиал Агробанка","Кашкадарьинская область, Яккабагский район, г. Яккабаг, ул. Амира Темура, 49",,,"Кашкадарьинская область","base.uz",,,"00169"
"Яккабагский филиал Кишлок курилиш банка","Кашкадарьинская область, Яккабагский район, г. Яккабаг, ул. Фурката, 2",,,"Кашкадарьинская область","base.uz",,,"00171"
"Каршинский филиал Агробанка","180200, Кашкадарьинская область, Каршинский район, г. Бешкент, ул. Хамзы, 1",,,"Кашкадарьинская область","base.uz",,,"00172"
"Бешкентский филиал Микрокредитбанка","180200, Кашкадарьинская область, Каршинский район, г. Бешкент, ул. Мустакиллик, 27",,,"Кашкадарьинская область","base.uz",,,"00173"
"Чиракчинский филиал Агробанка","Кашкадарьинская область, Чиракчинский район, г. Чиракчи, ул. Ахунбабаева, 2",,,"Кашкадарьинская область","base.uz",,,"00174"
"Чиракчинский филиал Микрокредитбанка","Кашкадарьинская область, Чиракчинский район, г. Чиракчи, ул. Ахунбабаева, 40",,,"Кашкадарьинская область","base.uz",,,"00175"
"Китабский филиал Агробанка","180700, Кашкадарьинская область, Китабский район, г. Китаб, ул. Буюк Ипак йули, 18",,,"Кашкадарьинская область","base.uz",,,"00176"
"Китабский филиал Микрокредитбанка","181301, Кашкадарьинская область, Китабский район, г. Китаб, ул. Журабекова, 54",,,"Кашкадарьинская область","base.uz",,,"00177"
"Касбинский филиал Агробанка","180600, Кашкадарьинская область, Касбинский район, гп Муглон, ул. Амира Темура, 7",,,"Кашкадарьинская область","base.uz",,,"00179"
"Нишанский филиал Агробанка","181100, Кашкадарьинская область, Нишанский район, г. Янги-Нишан, ул. Нодирабегим, 3",,,"Кашкадарьинская область","base.uz",,,"00181"
"Янги-Нишанский филиал Микрокредитбанка","180221, Кашкадарьинская область, Нишанский район, г. Янги-Нишан, ул. Лахутий, 12",,,"Кашкадарьинская область","base.uz",,,"00182"
"Миришкорский филиал Агробанка","180000, Кашкадарьинская область, Миришкорский район, гп Янги Миришкор, ул. Мустакиллик, 5",,,"Кашкадарьинская область","base.uz",,,"00184"
"Мубарекский филиал Узпромстройбанка","Кашкадарьинская область, Мубарекский район, г. Мубарек, ул. Занжирсарай, 22/3",,,"Кашкадарьинская область","base.uz",,,"00186"
