"id","code","name","user_type_id:id","reconcile","chart_template_id:id","tag_ids","currency_id:id"
"uz_nsbu_107000","107000","Материалы, переданные в переработку на сторону","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_108000","108000","Инвентарь и хозяйственные принадлежности","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_109000","109000","Прочие материалы","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_151000","151000","Заготовление и приобретение материальных ценностей","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_161000","161000","Отклонение в стоимости материалов","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_162000","162000","Отклонение в стоимости товаров","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_181000","181000","Транзитный счет при выбытии ТМЦ","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_201000","201000","Основное производство","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_202000","202000","Производство продукции из давальческого сырья","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_211000","211000","Полуфабрикаты собственного производства","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_231000","231000","Вспомогательные производства","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_251000","251000","Общепроизводственные расходы","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_261000","261000","Брак в производстве","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_271000","271000","Обслуживающие производства и хозяйства","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_281000","281000","Готовая продукция на складе","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_282000","282000","Готовая продукция на выставках","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_283000","283000","Готовая продукция отгруженная на комиссию","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_289000","289000","Выпуск продукции (работ, услуг)","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_291000","291000","Товары на складах","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_292010","292010","Товары в розничной торговле (по покупной стоимости)","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_292020","292020","Товары в розничной торговле (в АТТ по продажной стоимости)","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_292030","292030","Товары в розничной торговле (в НТТ по продажной стоимости)","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_293000","293000","Товары на выставках","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_294000","294000","Предметы проката","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_295000","295000","Тара под товаром и порожняя","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_296010","296010","Товары переданные на комиссию","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_296020","296020","Товары переданные на ответ хранение","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_298010","298010","Торговая наценка в автоматизированных торговых точках","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_298020","298020","Торговая наценка в неавтоматизированных торговых точках","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_299000","299000","Прочие товары","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_311000","311000","Предоплаченная арендная плата","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_312000","312000","Предоплаченные услуги","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_319000","319000","Прочие расходы будущих периодов","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_321000","321000","Отсроченный налог на доходы (прибыль) по временным разницам","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_322000","322000","Отсроченные расходы по дисконтам","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_329000","329000","Прочие отсроченные расходы","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_401000","401000","Расчеты с покупателями и заказчиками","account.data_account_type_receivable","TRUE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_401500","401500","Расчеты с покупателями и заказчиками (в валюте)","account.data_account_type_receivable","TRUE","l10n_uz_nsbu_chart_template","Operating Activities","base.USD"
"uz_nsbu_402000","402000","Векселя полученные","account.data_account_type_receivable","TRUE","l10n_uz_nsbu_chart_template","Financing Activities",
"uz_nsbu_403000","403000","Расчеты с покупателями и заказчиками за комиссонный товар","account.data_account_type_receivable","TRUE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_403500","403500","Расчеты с покупателями и заказчиками за комиссонный товар (в валюте)","account.data_account_type_receivable","TRUE","l10n_uz_nsbu_chart_template","Operating Activities","base.USD"
"uz_nsbu_409000","409000","Расчеты с розничными покупателями","account.data_account_type_receivable","TRUE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_409500","409500","Расчеты с розничными покупателями в иностранной валюте","account.data_account_type_receivable","TRUE","l10n_uz_nsbu_chart_template","Operating Activities","base.USD"
"uz_nsbu_411000","411000","Расчеты с обособленными подразделениями","account.data_account_type_receivable","TRUE","l10n_uz_nsbu_chart_template","Investing & Extraordinary Activities",
"uz_nsbu_412000","412000","Расчеты с ДП, ЗО, СП","account.data_account_type_receivable","TRUE","l10n_uz_nsbu_chart_template","Investing & Extraordinary Activities",
"uz_nsbu_421000","421000","Авансы, выданные персоналу по оплате труда","account.data_account_type_receivable","TRUE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_422500","422500","Авансы, выданные персоналу на служебные командировки (в валюте)","account.data_account_type_receivable","TRUE","l10n_uz_nsbu_chart_template","Operating Activities","base.USD"
"uz_nsbu_423000","423000","Авансы общехозяйственные","account.data_account_type_receivable","TRUE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_423500","423500","Авансы общехозяйственные (в валюте)","account.data_account_type_receivable","TRUE","l10n_uz_nsbu_chart_template","Operating Activities","base.USD"
"uz_nsbu_429000","429000","Прочие авансы, выданные персоналу","account.data_account_type_receivable","TRUE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_429500","429500","Прочие авансы, выданные персоналу (в валюте)","account.data_account_type_receivable","TRUE","l10n_uz_nsbu_chart_template","Operating Activities","base.USD"
"uz_nsbu_431000","431000","Авансы, выданные поставщикам и подрядчикам под ТМЦ","account.data_account_type_receivable","TRUE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_431500","431500","Авансы, выданные поставщикам и подрядчикам под ТМЦ (в валюте)","account.data_account_type_receivable","TRUE","l10n_uz_nsbu_chart_template","Operating Activities","base.USD"
"uz_nsbu_432000","432000","Авансы, выданные поставщикам и подрядчикам под долгосрочные активы","account.data_account_type_receivable","TRUE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_432500","432500","Авансы, выданные поставщикам и подрядчикам под долгосрочные активы (в валюте)","account.data_account_type_receivable","TRUE","l10n_uz_nsbu_chart_template","Operating Activities","base.USD"
"uz_nsbu_433000","433000","Прочие авансы, выданные поставщикам и подрядчикам (Услуги)","account.data_account_type_receivable","TRUE","l10n_uz_nsbu_chart_template","Operating Activities",
